model,num_keys,num_updates,fvq_acc,cvq_acc,gap,fvq_ci_lower,fvq_ci_upper,cvq_ci_lower,cvq_ci_upper,n_trials,max_trials,source_file
claude-4.5-haiku,45,15,0.9943,0.7029,0.2914,0.9829,1.0,0.6343,0.7657,175,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,45,20,0.98,0.545,0.435,0.96,0.995,0.48,0.6101,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-4.5-haiku,45,30,0.98,0.53,0.45,0.96,0.995,0.46,0.6,200,200,experiments_cloud/results/semantic/claude-4.5-haiku/sweep_full_20260301_132042.json
claude-sonnet,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,20,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,2,50,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,1,0.975,1.0,-0.025,0.925,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,15,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,5,50,1.0,0.8833,0.1167,1.0,1.0,0.825,0.9333,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,10,1.0,0.9375,0.0625,1.0,1.0,0.875,0.9875,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,15,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,20,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,30,1.0,0.8583,0.1417,1.0,1.0,0.7917,0.9167,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,10,50,1.0,0.9,0.1,1.0,1.0,0.8375,0.9625,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,1,0.95,1.0,-0.05,0.9,0.9875,1.0,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,10,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,15,1.0,0.975,0.025,1.0,1.0,0.9375,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,20,1.0,0.85,0.15,1.0,1.0,0.7833,0.9167,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,30,1.0,0.9375,0.0625,1.0,1.0,0.8875,0.9875,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,15,50,1.0,0.825,0.175,1.0,1.0,0.7583,0.8917,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,1,0.975,1.0,-0.025,0.9375,1.0,1.0,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,5,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,10,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,15,1.0,0.9,0.1,1.0,1.0,0.8375,0.9625,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,20,1.0,0.925,0.075,1.0,1.0,0.8625,0.975,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,30,1.0,0.8917,0.1083,1.0,1.0,0.8333,0.9417,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,20,50,1.0,0.7438,0.2562,1.0,1.0,0.675,0.8125,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,1,0.9375,1.0,-0.0625,0.8872,0.9875,1.0,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,10,1.0,0.95,0.05,1.0,1.0,0.9,0.9875,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,15,1.0,0.8833,0.1167,1.0,1.0,0.825,0.9333,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,20,1.0,0.8583,0.1417,1.0,1.0,0.7917,0.9167,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,30,0.9938,0.8,0.1938,0.9812,1.0,0.7373,0.8625,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,25,50,0.9938,0.7188,0.275,0.975,1.0,0.6438,0.7875,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,1,0.975,1.0,-0.025,0.925,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,5,1.0,0.975,0.025,1.0,1.0,0.925,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,10,1.0,0.8917,0.1083,1.0,1.0,0.8333,0.9417,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,15,1.0,0.8875,0.1125,1.0,1.0,0.8125,0.95,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,20,1.0,0.775,0.225,1.0,1.0,0.7125,0.8375,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,30,1.0,0.67,0.33,1.0,1.0,0.6,0.735,200,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,30,50,1.0,0.7438,0.2562,1.0,1.0,0.6748,0.8125,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,1,0.975,1.0,-0.025,0.9375,1.0,1.0,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,5,1.0,0.95,0.05,1.0,1.0,0.9,0.9875,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,10,1.0,0.8667,0.1333,1.0,1.0,0.8,0.925,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,15,1.0,0.8062,0.1938,1.0,1.0,0.7438,0.8688,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,20,1.0,0.7375,0.2625,1.0,1.0,0.6688,0.8062,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,30,1.0,0.645,0.355,1.0,1.0,0.575,0.71,200,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,40,50,1.0,0.7562,0.2438,1.0,1.0,0.6938,0.8188,160,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,1,0.9375,1.0,-0.0625,0.875,0.9875,1.0,1.0,80,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,40,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,10,1.0,0.8417,0.1583,1.0,1.0,0.775,0.9083,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,15,1.0,0.8083,0.1917,1.0,1.0,0.7333,0.875,120,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,20,1.0,0.685,0.315,1.0,1.0,0.62,0.75,200,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
claude-sonnet,45,30,0.99,0.64,0.35,0.975,1.0,0.57,0.71,200,200,experiments_cloud/results/semantic/claude-sonnet/sweep_full_20260515_205747.json
gemini-2.5-flash,2,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,15,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,20,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,30,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,2,50,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,15,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,20,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,30,1.0,0.92,0.08,1.0,1.0,0.8533,0.9733,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,5,50,1.0,0.848,0.152,1.0,1.0,0.784,0.912,125,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,10,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,15,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,20,1.0,0.9067,0.0933,1.0,1.0,0.84,0.9733,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,30,1.0,0.9333,0.0667,1.0,1.0,0.8667,0.9867,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,10,50,1.0,0.8,0.2,1.0,1.0,0.728,0.864,125,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,10,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,15,1.0,0.9333,0.0667,1.0,1.0,0.88,0.9867,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,20,1.0,0.848,0.152,1.0,1.0,0.784,0.904,125,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,30,1.0,0.824,0.176,1.0,1.0,0.76,0.888,125,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,15,50,1.0,0.6629,0.3371,1.0,1.0,0.5886,0.7371,175,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,5,1.0,0.98,0.02,1.0,1.0,0.94,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,10,1.0,0.9333,0.0667,1.0,1.0,0.8667,0.9867,75,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,15,1.0,0.96,0.04,1.0,1.0,0.9,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,20,1.0,0.86,0.14,1.0,1.0,0.79,0.92,100,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,30,1.0,0.7867,0.2133,1.0,1.0,0.72,0.8533,150,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,20,50,1.0,0.54,0.46,1.0,1.0,0.475,0.61,200,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
gemini-2.5-flash,25,5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,50,200,experiments_cloud/results/semantic/gemini-2.5-flash/sweep_full_20260301_144813.json
