theme,model,model_family,is_proprietary,variant,dataset,prompt_format,num_keys,num_updates,condition,query_type,position,accuracy,gap,ci_lower,ci_upper,wilson_hw,n_trials,n_correct,n_offstream,accuracy_onstream,error_types_json,regime,split,provenance_tier,source_file,notes
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,10,CVQ,semantic,last,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,3,0.74,,0.6794,0.8006,0.0606,200,148,0,0.74,"{""correct"": 148, ""in_sequence"": 52}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,4,0.365,,0.2988,0.4312,0.0662,200,73,0,0.365,"{""correct"": 73, ""in_sequence"": 127}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,5,0.225,,0.1672,0.2828,0.0578,200,45,0,0.225,"{""correct"": 45, ""in_sequence"": 155}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,6,0.195,,0.14,0.25,0.055,200,39,0,0.195,"{""correct"": 39, ""in_sequence"": 161}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,7,0.175,,0.1221,0.2279,0.0529,200,35,0,0.175,"{""correct"": 35, ""in_sequence"": 165}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,8,0.165,,0.1133,0.2167,0.0517,200,33,0,0.165,"{""correct"": 33, ""in_sequence"": 167}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,10,0.1304,,0.0811,0.1798,0.0493,184,24,0,0.1304,"{""correct"": 24, ""in_sequence"": 160}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,11,0.1354,,0.0864,0.1844,0.049,192,26,0,0.1354,"{""correct"": 26, ""in_sequence"": 166}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,13,0.1354,,0.0864,0.1844,0.049,192,26,0,0.1354,"{""correct"": 26, ""in_sequence"": 166}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,14,0.119,,0.0692,0.1689,0.0499,168,20,0,0.119,"{""correct"": 20, ""in_sequence"": 148}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,16,0.1304,,0.0811,0.1798,0.0493,184,24,0,0.1304,"{""correct"": 24, ""in_sequence"": 160}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,17,0.075,,0.0251,0.1249,0.0499,120,9,0,0.075,"{""correct"": 9, ""in_sequence"": 111}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,IVQ,ordinal,19,0.22,,0.1626,0.2774,0.0574,200,44,0,0.22,"{""correct"": 44, ""in_sequence"": 156}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,CVQ,ordinal,20,0.58,,0.5122,0.6478,0.0678,200,116,0,0.58,"{""correct"": 116, ""in_sequence"": 84}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,20,CVQ,semantic,last,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,2,0.9722,,0.9224,1.0,0.0498,72,70,0,0.9722,"{""correct"": 70, ""in_sequence"": 2}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,3,0.705,,0.6422,0.7678,0.0628,200,141,0,0.705,"{""correct"": 141, ""in_sequence"": 58, ""out_of_context"": 1}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,4,0.34,,0.2748,0.4052,0.0652,200,68,0,0.34,"{""correct"": 68, ""in_sequence"": 132}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,5,0.17,,0.1177,0.2223,0.0523,200,34,0,0.17,"{""correct"": 34, ""in_sequence"": 166}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,6,0.075,,0.0251,0.1249,0.0499,120,9,0,0.075,"{""correct"": 9, ""in_sequence"": 111}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,7,0.0577,,0.0085,0.1069,0.0492,104,6,0,0.0577,"{""correct"": 6, ""in_sequence"": 98}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,8,0.1131,,0.0642,0.162,0.0489,168,19,0,0.1131,"{""correct"": 19, ""in_sequence"": 149}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,14,0.0278,,0.0,0.0776,0.0498,72,2,0,0.0278,"{""correct"": 2, ""in_sequence"": 70}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,20,0.0,,0.0,0.0447,0.0447,56,0,0,0.0,"{""in_sequence"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,26,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,31,0.0278,,0.0,0.0776,0.0498,72,2,0,0.0278,"{""correct"": 2, ""in_sequence"": 70}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,37,0.0156,,0.0,0.0639,0.0483,64,1,0,0.0156,"{""correct"": 1, ""in_sequence"": 63}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,43,0.075,,0.0251,0.1249,0.0499,120,9,0,0.075,"{""correct"": 9, ""in_sequence"": 111}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,IVQ,ordinal,49,0.155,,0.1045,0.2055,0.0505,200,31,0,0.155,"{""correct"": 31, ""in_sequence"": 169}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,CVQ,ordinal,50,0.245,,0.1856,0.3044,0.0594,200,49,0,0.245,"{""correct"": 49, ""in_sequence"": 151}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,5,50,CVQ,semantic,last,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,2,0.9722,,0.9224,1.0,0.0498,72,70,0,0.9722,"{""correct"": 70, ""in_sequence"": 2}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,3,0.8594,,0.8097,0.9091,0.0497,192,165,0,0.8594,"{""correct"": 165, ""in_sequence"": 27}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,4,0.57,,0.502,0.638,0.068,200,114,0,0.57,"{""correct"": 114, ""in_sequence"": 85, ""out_of_context"": 1}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,5,0.535,,0.4665,0.6035,0.0685,200,107,0,0.535,"{""correct"": 107, ""in_sequence"": 93}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,6,0.34,,0.2748,0.4052,0.0652,200,68,0,0.34,"{""correct"": 68, ""in_sequence"": 132}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,7,0.28,,0.2181,0.3419,0.0619,200,56,0,0.28,"{""correct"": 56, ""in_sequence"": 144}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,8,0.275,,0.2134,0.3366,0.0616,200,55,0,0.275,"{""correct"": 55, ""in_sequence"": 145}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,IVQ,ordinal,9,0.315,,0.251,0.379,0.064,200,63,0,0.315,"{""correct"": 63, ""in_sequence"": 137}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,CVQ,ordinal,10,0.78,,0.7226,0.8374,0.0574,200,156,0,0.78,"{""correct"": 156, ""in_sequence"": 44}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,10,CVQ,semantic,last,0.9722,,0.9224,1.0,0.0498,72,70,0,0.9722,"{""correct"": 70, ""in_sequence"": 2}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,FVQ,ordinal,1,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,2,1.0,,0.9553,1.0,0.0447,56,56,0,1.0,"{""correct"": 56}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=True; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,3,0.69,,0.6263,0.7537,0.0637,200,138,0,0.69,"{""correct"": 138, ""in_sequence"": 62}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,4,0.395,,0.3278,0.4622,0.0672,200,79,0,0.395,"{""correct"": 79, ""in_sequence"": 121}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,5,0.28,,0.2181,0.3419,0.0619,200,56,0,0.28,"{""correct"": 56, ""in_sequence"": 144}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
07_cot_ivq,claude-4.5-opus,Claude-4.5,True,nocot,semantic_multi,flat_nolabel,10,20,IVQ,ordinal,6,0.22,,0.1626,0.2774,0.0574,200,44,0,0.22,"{""correct"": 44, ""in_sequence"": 156}",,,raw,experiments_cloud/results/cot_ivq/claude-opus-4-5-20251101__nocot/checkpoint.json,model_id=claude-opus-4-5-20251101; converged=False; n_malformed=0; seed_version=cot_ivq_v1; sdk=1.4.0
