modelId,modelArn,max_input_tokens,max_output_tokens,notes
amazon.nova-lite-v1:0:24k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-lite-v1:0:24k,24000,5000,"Amazon Nova Lite Gen1 with 24K context variant"
amazon.nova-lite-v1:0:300k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-lite-v1:0:300k,300000,5000,"Amazon Nova Lite Gen1 with 300K context variant"
amazon.nova-lite-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-lite-v1:0,300000,5000,"Amazon Nova Lite Gen1 default with 300K context"
amazon.nova-micro-v1:0:24k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-micro-v1:0:24k,24000,5000,"Amazon Nova Micro with 24K context variant"
amazon.nova-micro-v1:0:128k,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-micro-v1:0:128k,128000,5000,"Amazon Nova Micro with 128K context variant"
amazon.nova-micro-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-micro-v1:0,128000,5000,"Amazon Nova Micro default with 128K context"
amazon.nova-sonic-v1:0,arn:aws:bedrock:us-east-1::foundation-model/amazon.nova-sonic-v1:0,300000,5000,"Amazon Nova Sonic Gen1 with 300K context"
amazon.titan-text-lite-v1:0:4k,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-lite-v1:0:4k,4000,4000,"Amazon Titan Text Lite with 4K context (combined input+output)"
amazon.titan-text-lite-v1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-lite-v1,4000,4000,"Amazon Titan Text Lite with 4K context"
amazon.titan-text-express-v1:0:8k,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-express-v1:0:8k,8000,8000,"Amazon Titan Text Express with 8K context (combined input+output)"
amazon.titan-text-express-v1,arn:aws:bedrock:us-east-1::foundation-model/amazon.titan-text-express-v1,8000,8000,"Amazon Titan Text Express with 8K context"
ai21.jamba-1-5-large-v1:0,arn:aws:bedrock:us-east-1::foundation-model/ai21.jamba-1-5-large-v1:0,256000,8192,"AI21 Jamba 1.5 Large with 256K context; one of longest on market"
ai21.jamba-1-5-mini-v1:0,arn:aws:bedrock:us-east-1::foundation-model/ai21.jamba-1-5-mini-v1:0,256000,8192,"AI21 Jamba 1.5 Mini with 256K context"
anthropic.claude-instant-v1:2:100k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-instant-v1:2:100k,100000,8192,"Claude Instant v1.2 with 100K context window"
anthropic.claude-v2:0:18k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:0:18k,18000,8000,"Claude v2.0 with 18K context; 8K max output"
anthropic.claude-v2:0:100k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:0:100k,100000,8000,"Claude v2.0 with 100K context; 8K max output"
anthropic.claude-v2:1:18k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:1:18k,18000,8000,"Claude v2.1 with 18K context; 8K max output"
anthropic.claude-v2:1:200k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-v2:1:200k,200000,8000,"Claude v2.1 with 200K context; 8K max output"
anthropic.claude-3-sonnet-20240229-v1:0:28k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-sonnet-20240229-v1:0:28k,28000,4096,"Claude 3 Sonnet with 28K context; 4096 output limit"
anthropic.claude-3-sonnet-20240229-v1:0:200k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-sonnet-20240229-v1:0:200k,200000,4096,"Claude 3 Sonnet with 200K context; 4096 output limit"
anthropic.claude-3-sonnet-20240229-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-sonnet-20240229-v1:0,200000,4096,"Claude 3 Sonnet default 200K context; 4096 output limit"
anthropic.claude-3-haiku-20240307-v1:0:48k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-haiku-20240307-v1:0:48k,48000,4096,"Claude 3 Haiku with 48K context; 4096 output limit"
anthropic.claude-3-haiku-20240307-v1:0:200k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-haiku-20240307-v1:0:200k,200000,4096,"Claude 3 Haiku with 200K context; 4096 output limit"
anthropic.claude-3-haiku-20240307-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-haiku-20240307-v1:0,200000,4096,"Claude 3 Haiku default 200K context; 4096 output limit"
anthropic.claude-3-opus-20240229-v1:0:12k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-opus-20240229-v1:0:12k,12000,4096,"Claude 3 Opus with 12K context; 4096 output limit"
anthropic.claude-3-opus-20240229-v1:0:28k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-opus-20240229-v1:0:28k,28000,4096,"Claude 3 Opus with 28K context; 4096 output limit"
anthropic.claude-3-opus-20240229-v1:0:200k,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-opus-20240229-v1:0:200k,200000,4096,"Claude 3 Opus with 200K context; 4096 output limit"
anthropic.claude-3-opus-20240229-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-opus-20240229-v1:0,200000,4096,"Claude 3 Opus default 200K context; 4096 output limit"
anthropic.claude-3-5-sonnet-20240620-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-5-sonnet-20240620-v1:0,200000,8192,"Claude 3.5 Sonnet (June 2024) with 200K context; 8K output"
anthropic.claude-3-5-sonnet-20241022-v2:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-5-sonnet-20241022-v2:0,200000,8192,"Claude 3.5 Sonnet v2 (Oct 2024) with 200K context; 8K output"
anthropic.claude-3-7-sonnet-20250219-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-7-sonnet-20250219-v1:0,200000,131072,"Claude 3.7 Sonnet with 200K context; 128K max output"
anthropic.claude-3-5-haiku-20241022-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-3-5-haiku-20241022-v1:0,200000,8192,"Claude 3.5 Haiku with 200K context; 8K output"
anthropic.claude-opus-4-20250514-v1:0,arn:aws:bedrock:us-east-1::foundation-model/anthropic.claude-opus-4-20250514-v1:0,200000,65536,"Claude Opus 4 with 200K context; 64K max output"
cohere.command-r-v1:0,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-r-v1:0,128000,4096,"Cohere Command R with 128K context; 4096 output limit"
cohere.command-r-plus-v1:0,arn:aws:bedrock:us-east-1::foundation-model/cohere.command-r-plus-v1:0,128000,4096,"Cohere Command R+ with 128K context; 4096 output limit"
deepseek.r1-v1:0,arn:aws:bedrock:us-east-1::foundation-model/deepseek.r1-v1:0,64000,8192,"DeepSeek R1 with 64K context; AWS recommends max 8192 output for quality"
meta.llama3-8b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-8b-instruct-v1:0,8000,2048,"Meta Llama 3 8B with 8K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-70b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-70b-instruct-v1:0,8000,2048,"Meta Llama 3 70B with 8K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-1-8b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-1-8b-instruct-v1:0,128000,2048,"Meta Llama 3.1 8B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-1-70b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-1-70b-instruct-v1:0,128000,2048,"Meta Llama 3.1 70B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-2-11b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-11b-instruct-v1:0,128000,2048,"Meta Llama 3.2 11B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-2-90b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-90b-instruct-v1:0,128000,2048,"Meta Llama 3.2 90B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-2-1b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-1b-instruct-v1:0,128000,2048,"Meta Llama 3.2 1B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-2-3b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-2-3b-instruct-v1:0,128000,2048,"Meta Llama 3.2 3B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama3-3-70b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama3-3-70b-instruct-v1:0,128000,2048,"Meta Llama 3.3 70B with 128K context; 2048 max_gen_len limit on Bedrock"
meta.llama4-scout-17b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama4-scout-17b-instruct-v1:0,1000000,8192,"Meta Llama 4 Scout with 1M context window; extended max_gen_len"
meta.llama4-maverick-17b-instruct-v1:0,arn:aws:bedrock:us-east-1::foundation-model/meta.llama4-maverick-17b-instruct-v1:0,1000000,8192,"Meta Llama 4 Maverick with 1M context window; extended max_gen_len"
mistral.mistral-7b-instruct-v0:2,arn:aws:bedrock:us-east-1::foundation-model/mistral.mistral-7b-instruct-v0:2,8000,8192,"Mistral 7B Instruct v0.2 with 8K context"
mistral.mixtral-8x7b-instruct-v0:1,arn:aws:bedrock:us-east-1::foundation-model/mistral.mixtral-8x7b-instruct-v0:1,32000,8192,"Mistral Mixtral 8x7B with 32K context"
mistral.mistral-large-2402-v1:0,arn:aws:bedrock:us-east-1::foundation-model/mistral.mistral-large-2402-v1:0,32000,8192,"Mistral Large (Feb 2024) with 32K context"
mistral.mistral-small-2402-v1:0,arn:aws:bedrock:us-east-1::foundation-model/mistral.mistral-small-2402-v1:0,32000,8192,"Mistral Small (Feb 2024) with 32K context"
mistral.pixtral-large-2502-v1:0,arn:aws:bedrock:us-east-1::foundation-model/mistral.pixtral-large-2502-v1:0,128000,8192,"Mistral Pixtral Large (multimodal) with 128K context"
